hour,base_load_mw,alk_mw,pem_mw,nh3_mw,total_load_mw,wind_mw,pv_mw,buy_mw,sell_mw
0:00-1:00,1.3698000000000001,10.0,10.0,0.75,22.1198,10.904,0.0,11.215800000000002,0.0
1:00-2:00,1.0997999999999999,10.0,10.0,0.75,21.8498,15.152000000000001,0.0,6.697799999999997,0.0
2:00-3:00,0.7998000000000001,10.0,10.0,0.75,21.5498,13.312,0.0,8.237800000000002,0.0
3:00-4:00,0.99,10.0,10.0,0.75,21.74,15.072000000000001,0.0,6.6679999999999975,0.0
4:00-5:00,1.1802000000000001,10.0,10.0,0.75,21.9302,18.724,0.0,3.206199999999999,0.0
5:00-6:00,1.6301999999999999,10.0,10.0,0.75,22.3802,9.628,1.28,11.472199999999999,0.0
6:00-7:00,2.5002,10.0,10.0,0.75,23.2502,22.804000000000002,7.68,0.0,7.233800000000002
7:00-8:00,3.3701999999999996,10.0,10.0,0.75,24.1202,17.852,17.92,0.0,11.651800000000005
8:00-9:00,4.0098,10.0,10.0,0.75,24.7598,14.328000000000001,28.8,0.0,18.3682
9:00-10:00,4.199999999999999,10.0,10.0,0.75,24.95,11.904,37.12,0.0,24.074
10:00-11:00,4.1202,10.0,10.0,0.75,24.8702,7.736,42.88,0.0,25.7458
11:00-12:00,3.9000000000000004,10.0,10.0,0.75,24.65,8.556000000000001,44.8,0.0,28.705999999999996
12:00-13:00,3.2598000000000003,10.0,10.0,0.75,24.0098,14.52,46.08,0.0,36.590199999999996
13:00-14:00,2.6898,10.0,10.0,0.75,23.439799999999998,6.707999999999999,42.88,0.0,26.148200000000003
14:00-15:00,3.63,10.0,10.0,0.75,24.38,11.175999999999998,37.12,0.0,23.915999999999993
15:00-16:00,3.8202000000000003,10.0,10.0,0.75,24.5702,10.107999999999999,28.8,0.0,14.337800000000001
16:00-17:00,3.75,10.0,10.0,0.75,24.5,6.3839999999999995,17.92,0.19599999999999795,0.0
17:00-18:00,3.1398,10.0,10.0,0.75,23.8898,6.428000000000001,5.12,12.3418,0.0
18:00-19:00,2.61,10.0,10.0,0.75,23.36,5.736,0.0,17.624,0.0
19:00-20:00,2.1198,10.0,10.0,0.75,22.8698,3.752,0.0,19.117800000000003,0.0
20:00-21:00,1.8599999999999999,10.0,10.0,0.75,22.61,3.6919999999999997,0.0,18.918,0.0
21:00-22:00,1.6301999999999999,10.0,10.0,0.75,22.3802,4.88,0.0,17.5002,0.0
22:00-23:00,1.56,10.0,10.0,0.75,22.31,2.5,0.0,19.81,0.0
23:00-24:00,1.4802,10.0,10.0,0.75,22.2302,3.1919999999999997,0.0,19.0382,0.0
